generated_file,ground_truth_file,generated_sql,ground_truth_sql,is_match
北京市密云区-0945adcdf97540ce9ba6dc84b70ff729_generated.yaml,北京市密云区-0945adcdf97540ce9ba6dc84b70ff729.yaml,"[""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市密云区-3302d3d9baab471eab069bdcb354e2f4_generated.yaml,北京市密云区-3302d3d9baab471eab069bdcb354e2f4.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'",No
北京市密云区-9a3114147fea44bf98b4865272423451_generated.yaml,北京市密云区-9a3114147fea44bf98b4865272423451.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'",No
北京市密云区-b88516d194bd4eeca2216c7c7e0202c4_generated.yaml,北京市密云区-b88516d194bd4eeca2216c7c7e0202c4.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '密云区' AND block_name = '密云区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市怀柔区-681ca657f81640668abb3f59f4eb5527_generated.yaml,北京市怀柔区-681ca657f81640668abb3f59f4eb5527.yaml,"[""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市怀柔区-c828deba09074df5a0559b35c98893d9_generated.yaml,北京市怀柔区-c828deba09074df5a0559b35c98893d9.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '怀柔区' AND block_name = '怀柔区' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市永丰-31fa20e5c4714c3da4cbbe841de41e57_generated.yaml,北京市永丰-31fa20e5c4714c3da4cbbe841de41e57.yaml,"[""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'",No
北京市永丰-6b5ed65b708349a69a983ba60fa5c3ad_generated.yaml,北京市永丰-6b5ed65b708349a69a983ba60fa5c3ad.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市永丰-7e08560ebe4c4a92943b7667aab0df7e_generated.yaml,北京市永丰-7e08560ebe4c4a92943b7667aab0df7e.yaml,"[""SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2020-01-01' AND date_code <= '2022-12-31'",No
北京市永丰-9637c3082d3f4cd8a9da7cc56a3c273b_generated.yaml,北京市永丰-9637c3082d3f4cd8a9da7cc56a3c273b.yaml,"[""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'"", ""SELECT date_code, supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'""]","SELECT supply_sets, trade_sets, dim_area FROM public.new_house WHERE city_name = '北京市' AND district_name = '海淀区' AND block_name = '永丰' AND date_code >= '2021-01-01' AND date_code <= '2023-12-31'",No
